record_id,record_type,display_name,one_line_description,full_description,full_description_or_source_reference,description_status,prerequisites_readable,acquisition_route,source_attribution,restriction_explanation,advanced,source_provenance,record_commitment_sha256
tianxia.sphere.air,sphere,Air,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:570,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:570,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.air""}","{""source_anchor"":""line:570"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",2da81dd76ea40474025f6a1064898cb8a72644924e0ea83dcf1d59a0b569f548
tianxia.sphere.alchemy,sphere,Alchemy,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:1704,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:1704,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.alchemy""}","{""source_anchor"":""line:1704"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",59e62ec1b2a893d945970383016eaa7bef888760b26bd98619dd7978df17e5d7
tianxia.sphere.ash,sphere,Ash,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:3104,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:3104,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.ash""}","{""source_anchor"":""line:3104"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",261691dc0bdb06dac1a51e12d74c891123192e667acd4aa05188e8de1876426b
tianxia.sphere.athletics,sphere,Athletics,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:4212,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:4212,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.athletics""}","{""source_anchor"":""line:4212"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",320d0938f0a9da87ba252d356f859c73639ec32375280f83d1ec54fcece35718
tianxia.sphere.axes,sphere,Axes,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:5104,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:5104,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.axes""}","{""source_anchor"":""line:5104"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",87a64640309614af1b0f3de403ef4f5b4e54d04caebd1cd2aae739b3eca68201
tianxia.sphere.barrage,sphere,Barrage,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:6196,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:6196,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.barrage""}","{""source_anchor"":""line:6196"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",cc9fba9100b1739c366221382207f1ce7159a58b7e1bfc75f609f02c4d26c6b4
tianxia.sphere.beastmastery,sphere,Beastmastery,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:7205,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:7205,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.beastmastery""}","{""source_anchor"":""line:7205"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",344786c9e00e54f2a69073572a0851319b63e576a0cbea8fa9c3617b5472c7dd
tianxia.sphere.beauty,sphere,Beauty,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:8353,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:8353,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.beauty""}","{""source_anchor"":""line:8353"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",74d8cfd5f9a641b3cd80e66c06a97bf2d4bd07708efac1e93a22a3d1f4e5a1c8
tianxia.sphere.berserker,sphere,Berserker,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9364,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:9364,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.berserker""}","{""source_anchor"":""line:9364"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",33d3b0951ce0f35691538c8f05d221ae045e887edfcddb5e31187213b9403ea0
tianxia.sphere.blacksmith,sphere,Blacksmith,,,09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:10327,SOURCE_TEXT_AVAILABLE_BUT_PROJECTION_MISSING,Sphere acquisition prerequisites are governed by character advancement/training authority.,"[""sphere-acquisition""]",Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2: 09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md#line:10327,ordinary_or_unspecified,"{""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""stable_id"":""tianxia.sphere.blacksmith""}","{""source_anchor"":""line:10327"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""67f67275889467d43605debaa0c05dc5ddde9ba079222819aabea27c66167775"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Source_Text/Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",0b34f2f544a5287f4b04fa5a3937ce25310836b139302bff973fa0b0d6ba02dd
