candidate_record_id,display_name,source_label,cat1_classification,reason,source_context,included_in_canonical_selectable_registry
FIRE_TAL_OVERHEAT_FIREBALL_ART,Overheat — Fireball Art,Fire,GENERATED_OR_PROJECTION_ROW,Declared source reference identifies a structural/projection packet whose exact talent authority remained backlog work.,"{""declared_source_refs"":[""fire_section.md Fireball Art Overheat subheading; exact full Overheat risk text retained for C03 cleanup backlog where not fully transcribed.""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_AEGIS_OBJECT_DAMAGE_REDIRECT,Aegis Object Damage Redirect,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_AEGIS_WARD_STATE_CREATE_REFRESH,Aegis Ward State Create Refresh,Protection,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_BORROWED_BREATH_TEMP_HP_STACKING,Borrowed Breath Temporary Vitality,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_DAMAGE_PREVENTION_ZERO_TRIGGER,Damage Prevention Zero Trigger,Universal,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_DAMAGE_REDUCTION_FLAT_OR_DICE_INSTANCE,Flat or Dice Damage Reduction Instance,Universal,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_HEALING_INSTANCE_TARGET_CAP,Healing Instance Target Cap,Universal,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_HEALING_NO_UNDEAD_CONSTRUCT_UNLESS_PACKET,No Undead Construct Healing Unless Packet,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_HEALING_OVERFLOW_TEMP_HP_CONVERSION,Healing Overflow Temp HP Conversion,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
TALENT_PACKET_LIFE_CONDITION_REMOVAL_LIMITED,Limited Condition Removal,Life,GENERATED_OR_PROJECTION_ROW,No exact current-compendium heading or text occurrence establishes this packet row as a selectable Talent.,"{""declared_source_refs"":[""uploaded sphere compendium: Life/Protection section where applicable"",""C04 packetized normalization seed family; exact source-text verification remains backlog for non-sentinel variants""],""exact_name_heading_hits"":[],""exact_name_nonheading_hits"":[]}",false
