candidate_record_id,display_name,source_label,mapped_canonical_sphere_id,qa2_prior_classification,cat1_classification,confirmed_selectable_talent,owner_selectable_output,reason,packet_type,catalog_role,source_refs,source_context,owner_ruling_id,source_provenance,record_commitment_sha256
ASH_BASE_ASHFALL,Ashfall,Ash,tianxia.sphere.ash,sphere_base_ability,BASE_SPHERE_ABILITY,false,false,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3246: sphere_base_ability.,field_terrain,null,"[""ash_section.md Ashfall: creates Ash Terrain in 15-foot-radius sphere.""]","{""declared_source_refs"":[""ash_section.md Ashfall: creates Ash Terrain in 15-foot-radius sphere.""]}",null,"{""source_anchor"":""record:ASH_BASE_ASHFALL"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",a0cec5fd205abd90fffa6750c4ea8826cb4c503003abbc66190999d14dbd233c
ASH_BASE_CINDER_BRAND,Cinder Brand,Ash,tianxia.sphere.ash,sphere_base_ability,BASE_SPHERE_ABILITY,false,false,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3213: sphere_base_ability.,direct_damage_brand_menu,null,"[""ash_section.md Cinder Brand: CL11-16 = 3d8 Fire/Necrotic/Psychic; applies Ashen Brand; menu options.""]","{""declared_source_refs"":[""ash_section.md Cinder Brand: CL11-16 = 3d8 Fire/Necrotic/Psychic; applies Ashen Brand; menu options.""]}",null,"{""source_anchor"":""record:ASH_BASE_CINDER_BRAND"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",259b0eed392f80b436f3caae12b813e11db5766281db5c78c13670fed64dba02
ASH_TAL_ASHEN_BURIAL,Ashen Burial,Ash,tianxia.sphere.ash,actual_talent,CONFIRMED_SELECTABLE_TALENT,true,true,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3582: actual_talent.,single_target_restrain_dot,null,"[""ash_section.md Ashen Burial: failed STR save restrained and 2d8 start-turn; repeat save; success speed -10.""]","{""declared_source_refs"":[""ash_section.md Ashen Burial: failed STR save restrained and 2d8 start-turn; repeat save; success speed -10.""]}",null,"{""source_anchor"":""record:ASH_TAL_ASHEN_BURIAL"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",dc85b061e2b3a74cecfa19dbeb537e070d70395017d4664184a808f564b1b7a4
ASH_TAL_CINDER_BURST,Cinder Burst,Ash,tianxia.sphere.ash,actual_talent,CONFIRMED_SELECTABLE_TALENT,true,true,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3326: actual_talent.,cone_damage_reaction_lock,null,"[""ash_section.md Cinder Burst: CL11-16 = 4d6 Fire/Necrotic; failed save no reactions.""]","{""declared_source_refs"":[""ash_section.md Cinder Burst: CL11-16 = 4d6 Fire/Necrotic; failed save no reactions.""]}",null,"{""source_anchor"":""record:ASH_TAL_CINDER_BURST"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",c0f1d2184fd323d2035d9212b34e107a73717dea9e049d9e8e12e01e5d7a5604
ASH_TAL_CREMATION_PRISON,Cremation Prison,Ash,tianxia.sphere.ash,actual_talent,CONFIRMED_SELECTABLE_TALENT,true,true,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3812: actual_talent.,single_target_prison_dot_heal_throttle,null,"[""ash_section.md Cremation Prison: failed save restrained/no reactions/no temp HP/heal halved; DOT 2d8 Fire + 2d8 Necrotic; success 2d8 Fire/Necrotic no temp HP.""]","{""declared_source_refs"":[""ash_section.md Cremation Prison: failed save restrained/no reactions/no temp HP/heal halved; DOT 2d8 Fire + 2d8 Necrotic; success 2d8 Fire/Necrotic no temp HP.""]}",null,"{""source_anchor"":""record:ASH_TAL_CREMATION_PRISON"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",1ce9f7d6986c6ee842054c9015eef2ce735e4b4f8a8f516236287b7189ded894
ASH_TAL_DEEP_CINDER_BRAND,Deep Cinder Brand,Ash,tianxia.sphere.ash,actual_talent,CONFIRMED_SELECTABLE_TALENT,true,true,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3492: actual_talent.,brand_extra_damage_pressure_menu,null,"[""ash_section.md Deep Cinder Brand: CL11-16 extra 2d6 in Ash Terrain; once/turn; pressure menu.""]","{""declared_source_refs"":[""ash_section.md Deep Cinder Brand: CL11-16 extra 2d6 in Ash Terrain; once/turn; pressure menu.""]}",null,"{""source_anchor"":""record:ASH_TAL_DEEP_CINDER_BRAND"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",4712ded5c26cbf8f7d3017e3301c2685322c6e79de2266ab4bcc69c902177957
ASH_TAL_RUINOUS_ASH,Ruinous Ash,Ash,tianxia.sphere.ash,actual_talent,CONFIRMED_SELECTABLE_TALENT,true,true,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3550: actual_talent.,object_damage_remnant,null,"[""ash_section.md Ruinous Ash: CL11-16 7d8 Fire/Necrotic; damage threshold rule; double vs listed; Remnant on destruction.""]","{""declared_source_refs"":[""ash_section.md Ruinous Ash: CL11-16 7d8 Fire/Necrotic; damage threshold rule; double vs listed; Remnant on destruction.""]}",null,"{""source_anchor"":""record:ASH_TAL_RUINOUS_ASH"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",d1bfacbd42b5cec6f3ffc92fbaaa5b9c0c6de593c2f744fc6c542ffcb8ef04af
ASH_TAL_SMOTHERING_CLOUD,Smothering Cloud,Ash,tianxia.sphere.ash,actual_talent,CONFIRMED_SELECTABLE_TALENT,true,true,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3472: actual_talent.,field_damage_smother,null,"[""ash_section.md Smothering Cloud: CL11-16 = 5d6; failed save Smothered; once/turn.""]","{""declared_source_refs"":[""ash_section.md Smothering Cloud: CL11-16 = 5d6; failed save Smothered; once/turn.""]}",null,"{""source_anchor"":""record:ASH_TAL_SMOTHERING_CLOUD"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",26238fe0c16b36960b88442b67afae5e4e9ffc87f136b07eb321a5dbc67ae144
ASH_TAL_SOOT_IN_LUNGS,Soot in the Lungs,Ash,tianxia.sphere.ash,actual_talent,CONFIRMED_SELECTABLE_TALENT,true,true,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:3378: actual_talent.,field_smother_reaction_lock,null,"[""ash_section.md Soot in the Lungs: Ashfall trigger; failed save Smothered; success no reactions.""]","{""declared_source_refs"":[""ash_section.md Soot in the Lungs: Ashfall trigger; failed save Smothered; success no reactions.""]}",null,"{""source_anchor"":""record:ASH_TAL_SOOT_IN_LUNGS"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",fb8051fcd0b8bc39e666905d423ced2f0a17c1a4618d444760704f7dae545f48
DARK_BASE_DARKNESS,Darkness,Dark,tianxia.sphere.dark,sphere_base_ability,BASE_SPHERE_ABILITY,false,false,Exact source-heading classification at Tianxia_Sphere_Compendium_Latest_R0I_85Spheres.md:17898: sphere_base_ability.,field_obscurement,null,"[""Sphere compendium Dark lines 17273-17339: Darkness/Meld/Darkvision base abilities.""]","{""declared_source_refs"":[""Sphere compendium Dark lines 17273-17339: Darkness/Meld/Darkvision base abilities.""]}",null,"{""source_anchor"":""record:DARK_BASE_DARKNESS"",""source_authority_sha256"":""4daf167cf634f27efef4dd2f1c8700bb4b7037cc6234c32be1af90aea5916385"",""source_file_sha256"":""59fb3a6b378f6bc9753e4ec630e4535576ecace024a20ba9ae001264df2540e4"",""source_pack"":""Tianxia_Factory_HF05ZVK_R1H_Phase2I_HF2"",""source_path"":""09_RULES/Indexes/Canonical_Talent_Catalog.json"",""source_version"":""HF05ZVK-R1H Phase 2I HF2 / Canon Corpus P2A""}",11e7cc05f92b53775398608491dedd148c5ed08713a94c3477152880c17cb1e0
